department,current_headcount,projected_growth_pct,future_headcount
Finance,185,-5.52,175.0
Tech,117,-9.59,106.0
Tech,206,20.91,249.0
Sales,185,14.4,212.0
Finance,51,14.23,58.0
Finance,151,-3.42,146.0
Sales,186,13.64,211.0
HR,170,-9.81,153.0
Finance,228,16.71,266.0
Sales,237,15.85,275.0
Finance,215,-7.13,200.0
Sales,169,17.7,199.0
Tech,45,8.63,49.0
Finance,111,14.99,128.0
Sales,105,9.22,115.0
Sales,130,-4.95,124.0
Finance,122,2.71,125.0
Finance,156,-7.74,144.0
Sales,245,-2.37,239.0
Finance,39,7.77,42.0
HR,12,20.72,14.0
Finance,141,-2.56,137.0
Tech,270,18.47,320.0
Sales,264,-6.81,246.0
Tech,165,-8.49,151.0
HR,14,-8.26,13.0
HR,19,1.83,19.0
Finance,268,24.3,333.0
Finance,174,14.8,200.0
Sales,181,-9.83,163.0
Tech,124,21.46,151.0
HR,268,15.37,309.0
Tech,143,5.11,150.0
HR,272,-3.78,262.0
Sales,217,18.89,258.0
Sales,95,4.43,99.0
HR,286,10.31,315.0
HR,24,-8.97,22.0
Sales,137,2.72,141.0
Tech,268,-7.02,249.0
Finance,215,-1.09,213.0
Finance,155,14.21,177.0
Finance,258,-9.0,235.0
Sales,30,-4.35,29.0
HR,234,2.34,239.0
Finance,128,-9.92,115.0
Tech,71,19.07,85.0
HR,148,-5.22,140.0
Tech,115,0.6,116.0
Tech,242,-0.9,240.0
Finance,84,-6.96,78.0
Sales,62,8.05,67.0
Finance,53,-2.68,52.0
HR,171,18.14,202.0
Sales,283,3.18,292.0
Sales,129,17.38,151.0
Finance,157,14.42,180.0
Sales,201,10.19,221.0
HR,247,2.99,254.0
HR,297,-6.82,277.0
Tech,279,3.47,289.0
HR,237,-9.54,214.0
Tech,38,23.37,47.0
Tech,100,-9.37,91.0
Tech,78,20.16,94.0
Sales,36,1.35,36.0
Sales,253,2.72,260.0
HR,180,2.24,184.0
Finance,49,15.3,56.0
Tech,233,-8.57,213.0
Finance,288,9.92,317.0
Finance,114,1.27,115.0
Sales,273,7.86,294.0
Finance,247,-4.03,237.0
HR,35,12.74,39.0
Sales,70,-8.06,64.0
Sales,29,-8.58,27.0
Finance,257,24.77,321.0
Sales,91,6.77,97.0
HR,258,14.89,296.0
Sales,203,17.03,238.0
HR,135,3.77,140.0
HR,54,-8.45,49.0
HR,274,23.67,339.0
Sales,190,-4.23,182.0
Tech,170,3.49,176.0
Tech,203,3.9,211.0
Sales,136,14.57,156.0
Tech,289,21.7,352.0
Tech,167,22.79,205.0
Sales,148,18.45,175.0
Tech,210,0.95,212.0
Finance,42,-8.5,38.0
Sales,129,20.42,155.0
Sales,240,22.21,293.0
Sales,276,6.0,293.0
Finance,96,22.3,117.0
Sales,294,-7.9,271.0
Tech,255,20.62,308.0
HR,60,-7.02,56.0
HR,270,6.62,288.0
Finance,264,16.9,309.0
Tech,193,4.91,202.0
Finance,167,12.02,187.0
Tech,296,21.74,360.0
HR,195,8.28,211.0
Tech,137,11.28,152.0
Sales,44,18.75,52.0
Finance,124,6.27,132.0
Sales,143,23.87,177.0
Sales,149,18.27,176.0
Finance,74,24.57,92.0
HR,41,10.02,45.0
Sales,32,19.44,38.0
Tech,116,13.08,131.0
Finance,146,-0.38,145.0
Tech,203,-7.05,189.0
Tech,14,23.12,17.0
HR,228,-5.5,215.0
Sales,138,-8.87,126.0
HR,167,23.79,207.0
Sales,102,3.53,106.0
HR,95,-3.01,92.0
Finance,124,24.81,155.0
Tech,61,1.79,62.0
Sales,41,0.05,41.0
HR,228,-5.49,215.0
Sales,100,9.31,109.0
Finance,103,-7.63,95.0
Sales,192,-3.56,185.0
HR,30,16.34,35.0
Finance,288,2.44,295.0
HR,128,14.59,147.0
Sales,143,-0.55,142.0
Tech,264,18.23,312.0
HR,193,24.0,239.0
Tech,164,6.3,174.0
HR,284,22.22,347.0
HR,190,7.15,204.0
Finance,140,-5.96,132.0
Tech,190,-5.24,180.0
Sales,138,-1.58,136.0
Finance,19,-5.02,18.0
Finance,96,0.6,97.0
HR,67,13.63,76.0
Finance,268,10.66,297.0
Tech,220,0.71,222.0
Tech,201,9.77,221.0
HR,195,-0.28,194.0
Sales,231,9.36,253.0
Tech,108,-7.51,100.0
Finance,82,21.88,100.0
Sales,245,13.75,279.0
Finance,56,-6.2,53.0
Tech,176,21.64,214.0
HR,34,17.12,40.0
HR,13,24.31,16.0
Sales,55,-7.95,51.0
Tech,79,13.84,90.0
HR,182,16.7,212.0
Finance,274,13.97,312.0
Finance,296,10.51,327.0
Finance,231,2.9,238.0
Finance,91,-0.06,91.0
Sales,158,23.62,195.0
Finance,108,21.54,131.0
Finance,47,-2.27,46.0
Tech,8,-3.67,8.0
Sales,214,-1.11,212.0
Sales,5,9.81,5.0
Sales,177,23.55,219.0
Tech,108,22.63,132.0
HR,266,23.48,328.0
HR,48,9.5,53.0
Finance,193,-7.56,178.0
Finance,161,22.89,198.0
HR,56,15.82,65.0
Tech,44,-3.12,43.0
Finance,242,-3.94,232.0
Tech,135,-0.59,134.0
Tech,214,20.59,258.0
Finance,52,9.63,57.0
Finance,63,10.13,69.0
HR,244,22.93,300.0
Sales,210,-1.78,206.0
Tech,289,20.53,348.0
Finance,217,10.56,240.0
Sales,207,24.53,258.0
HR,200,4.27,209.0
HR,87,-9.68,79.0
Sales,40,2.27,41.0
Tech,53,20.61,64.0
Tech,56,-4.12,54.0
Tech,283,11.73,316.0
Tech,281,-3.79,270.0
Sales,163,-2.55,159.0
Tech,277,-1.89,272.0
HR,246,16.35,286.0
Tech,175,19.26,209.0
HR,109,6.84,116.0
HR,168,24.95,210.0
Tech,297,11.45,331.0
HR,56,24.75,70.0
Finance,222,3.23,229.0
HR,142,-3.75,137.0
Tech,32,19.54,38.0
Finance,180,1.85,183.0
Finance,177,-2.54,173.0
HR,83,-4.93,79.0
HR,51,-6.67,48.0
Sales,261,-9.48,236.0
HR,286,-1.37,282.0
HR,115,12.32,129.0
HR,149,20.93,180.0
Finance,176,20.35,212.0
Tech,15,-8.17,14.0
HR,27,-5.33,26.0
Sales,49,17.98,58.0
HR,167,8.47,181.0
Sales,157,8.83,171.0
Finance,273,-7.65,252.0
Sales,179,11.6,200.0
Tech,91,-8.07,84.0
HR,264,23.96,327.0
HR,129,-1.98,126.0
Tech,183,24.63,228.0
HR,199,6.73,212.0
Finance,134,18.16,158.0
Finance,52,-4.03,50.0
Tech,127,18.38,150.0
HR,90,-3.26,87.0
Finance,64,15.74,74.0
Sales,90,19.87,108.0
Tech,260,10.17,286.0
Finance,272,-7.97,250.0
Sales,106,0.14,106.0
Finance,284,6.59,303.0
Finance,197,20.04,236.0
Finance,203,-1.78,199.0
Tech,266,18.46,315.0
Tech,132,-8.11,121.0
Tech,62,-7.24,58.0
Sales,104,1.91,106.0
HR,88,-4.52,84.0
Finance,290,5.76,307.0
Sales,74,22.96,91.0
Finance,190,0.88,192.0
Sales,268,-9.5,243.0
Tech,176,23.79,218.0
Sales,30,-1.48,30.0
Sales,154,9.61,169.0
Finance,290,23.16,357.0
Sales,276,16.36,321.0
HR,21,17.97,25.0
Sales,8,-5.55,8.0
HR,206,23.76,255.0
Finance,168,22.9,206.0
Sales,8,0.7,8.0
Finance,133,14.56,152.0
Sales,278,9.45,304.0
Sales,177,11.85,198.0
Tech,16,19.94,19.0
Finance,64,18.57,76.0
HR,91,19.07,108.0
Finance,52,16.0,60.0
Tech,258,21.1,312.0
Sales,57,20.36,69.0
Tech,155,19.74,186.0
Finance,7,-2.58,7.0
Sales,242,12.27,272.0
Sales,66,0.45,66.0
Finance,158,21.96,193.0
HR,5,14.94,6.0
Tech,225,4.11,234.0
HR,10,4.9,10.0
HR,101,-8.41,93.0
HR,217,-5.83,204.0
Finance,106,0.61,107.0
Sales,83,-0.78,82.0
Tech,60,-4.8,57.0
Finance,126,2.36,129.0
Finance,221,-3.33,214.0
Tech,33,8.85,36.0
Finance,92,9.91,101.0
Sales,261,-7.85,241.0
Finance,95,-3.5,92.0
HR,50,-0.28,50.0
Sales,284,8.93,309.0
HR,169,4.15,176.0
Finance,34,11.56,38.0
Tech,268,19.51,320.0
Finance,243,-7.15,226.0
Tech,30,-3.67,29.0
Finance,30,-4.37,29.0
Tech,90,18.51,107.0
HR,18,12.41,20.0
Finance,37,8.29,40.0
HR,182,0.85,184.0
Sales,49,0.63,49.0
Finance,58,18.89,69.0
Tech,28,13.03,32.0
Tech,81,9.75,89.0
Finance,193,-7.15,179.0
HR,165,18.0,195.0
Sales,154,-8.57,141.0
Tech,246,9.36,269.0
Tech,63,20.55,76.0
Tech,209,9.34,229.0
Finance,84,23.17,103.0
Tech,217,21.75,264.0
HR,224,8.92,244.0
Tech,297,5.48,313.0
Sales,33,13.24,37.0
Tech,242,-5.9,228.0
Sales,219,-6.42,205.0
Tech,80,-0.83,79.0
Tech,67,-5.83,63.0
HR,266,-3.01,258.0
HR,265,-0.57,263.0
HR,151,20.23,182.0
HR,162,7.23,174.0
Sales,222,-4.39,212.0
Tech,252,20.76,304.0
Sales,194,-4.43,185.0
Finance,111,-0.67,110.0
Tech,149,19.12,177.0
HR,280,-3.14,271.0
Finance,185,-4.16,177.0
Sales,83,-7.53,77.0
HR,294,-5.91,277.0
Sales,9,6.13,10.0
HR,278,-5.23,263.0
HR,77,10.79,85.0
Tech,214,3.58,222.0
Tech,145,14.8,166.0
Tech,115,-9.19,104.0
HR,249,15.9,289.0
Sales,114,6.62,122.0
HR,286,19.64,342.0
Sales,130,19.08,155.0
Finance,32,5.79,34.0
Tech,270,-7.61,249.0
Tech,292,7.25,313.0
Finance,91,8.47,99.0
Tech,62,-6.72,58.0
HR,216,5.29,227.0
HR,25,6.74,27.0
Sales,296,6.67,316.0
Finance,279,-8.72,255.0
Tech,94,9.72,103.0
Finance,244,-7.32,226.0
Finance,281,11.21,313.0
Finance,255,5.51,269.0
Tech,165,8.34,179.0
HR,279,21.87,340.0
Finance,258,-6.75,241.0
Sales,79,7.91,85.0
Tech,296,21.85,361.0
Sales,166,21.89,202.0
HR,195,4.55,204.0
HR,126,6.98,135.0
HR,170,-1.79,167.0
Sales,76,-6.98,71.0
Tech,19,6.0,20.0
Finance,16,-0.41,16.0
Tech,99,14.89,114.0
Finance,112,19.01,133.0
Sales,8,22.65,10.0
HR,202,19.49,241.0
HR,187,-5.44,177.0
HR,145,22.42,178.0
HR,27,1.07,27.0
Finance,208,8.52,226.0
HR,296,24.41,368.0
Sales,290,2.41,297.0
HR,146,-8.65,133.0
HR,257,-0.91,255.0
Tech,164,9.86,180.0
Tech,173,20.43,208.0
Finance,157,12.62,177.0
Tech,286,-4.34,274.0
Finance,245,11.9,274.0
Finance,66,-2.56,64.0
Tech,280,22.61,343.0
Finance,184,16.99,215.0
Finance,146,18.26,173.0
Sales,274,19.98,329.0
Finance,31,22.34,38.0
Tech,160,-6.84,149.0
HR,14,1.55,14.0
HR,179,7.1,192.0
Finance,17,1.38,17.0
Sales,85,21.88,104.0
Sales,189,9.18,206.0
Sales,144,6.64,154.0
Tech,285,-9.84,257.0
HR,181,-3.62,174.0
Finance,122,1.26,124.0
Finance,23,-0.12,23.0
Tech,177,3.25,183.0
Tech,234,-7.52,216.0
Sales,257,-4.14,246.0
Sales,217,1.15,219.0
Finance,77,8.95,84.0
Sales,96,24.49,120.0
HR,278,10.47,307.0
HR,213,18.93,253.0
Finance,212,-5.78,200.0
HR,48,7.95,52.0
Tech,176,14.19,201.0
Tech,81,23.94,100.0
HR,136,7.07,146.0
HR,225,8.4,244.0
Finance,251,11.74,280.0
Tech,102,12.74,115.0
Tech,62,11.81,69.0
Sales,94,-2.63,92.0
Sales,45,4.7,47.0
Tech,290,-0.42,289.0
HR,197,-0.58,196.0
HR,60,21.23,73.0
Sales,83,-6.82,77.0
Finance,6,9.86,7.0
Finance,33,1.02,33.0
Sales,119,1.74,121.0
HR,262,-4.56,250.0
Sales,263,19.05,313.0
HR,28,8.7,30.0
Finance,134,0.97,135.0
Finance,198,22.9,243.0
Finance,246,8.57,267.0
HR,136,9.69,149.0
Finance,197,12.36,221.0
Sales,148,13.85,168.0
Finance,213,10.92,236.0
HR,266,-0.23,265.0
Sales,89,16.14,103.0
Sales,5,3.54,5.0
HR,148,-7.58,137.0
Finance,33,21.07,40.0
Finance,117,21.02,142.0
Finance,79,9.22,86.0
HR,298,-3.07,289.0
Sales,295,24.48,367.0
Tech,97,9.21,106.0
Finance,98,4.93,103.0
Tech,29,24.95,36.0
Finance,111,-5.54,105.0
Finance,297,5.36,313.0
Sales,5,13.68,6.0
Sales,249,17.17,292.0
Finance,276,11.48,308.0
HR,116,-4.76,110.0
Finance,62,20.7,75.0
Finance,73,10.58,81.0
Tech,284,22.69,348.0
Tech,217,-0.23,217.0
Tech,30,22.67,37.0
HR,257,20.96,311.0
HR,205,-3.52,198.0
Sales,95,24.08,118.0
Finance,166,20.41,200.0
Tech,164,7.03,176.0
Tech,61,-6.34,57.0
HR,167,12.07,187.0
Finance,30,3.23,31.0
Finance,278,-8.66,254.0
Tech,80,-5.45,76.0
Tech,73,-6.02,69.0
Sales,288,-4.7,274.0
Sales,279,19.33,333.0
Sales,133,8.39,144.0
Tech,52,19.82,62.0
Finance,102,22.81,125.0
HR,45,10.5,50.0
Tech,272,7.86,293.0
Sales,77,-8.06,71.0
Finance,140,-5.45,132.0
Tech,207,18.89,246.0
Tech,288,0.74,290.0
Sales,39,-0.84,39.0
Finance,114,-3.23,110.0
HR,138,23.18,170.0
Finance,187,1.59,190.0
Sales,142,-6.77,132.0
Tech,283,-2.13,277.0
Sales,239,17.48,281.0
Tech,176,-7.29,163.0
HR,189,10.74,209.0
Sales,234,19.58,280.0
HR,30,14.74,34.0
HR,282,16.05,327.0
Sales,59,11.89,66.0
Tech,198,14.88,227.0
Sales,194,-5.46,183.0
HR,153,20.5,184.0
Tech,159,20.83,192.0
HR,186,-8.23,171.0
HR,212,1.94,216.0
HR,52,-5.87,49.0
Tech,47,3.76,49.0
Finance,15,13.21,17.0
HR,262,-1.38,258.0
HR,281,-1.61,276.0
HR,245,6.72,261.0
HR,213,5.52,225.0
Tech,44,19.42,53.0
Tech,240,17.53,282.0
Tech,188,24.15,233.0
Finance,213,21.88,260.0
Sales,195,-7.1,181.0
Finance,124,-5.81,117.0
Finance,53,5.83,56.0
Sales,240,8.86,261.0
Finance,15,22.85,18.0
Tech,48,15.34,55.0
HR,67,6.05,71.0
Finance,203,8.22,220.0
Tech,213,-0.16,213.0
Finance,88,-7.41,81.0
Sales,87,3.23,90.0
Sales,108,19.85,129.0
Sales,186,-1.1,184.0
Tech,67,11.52,75.0
Finance,173,21.58,210.0
Sales,68,-8.03,63.0
Tech,193,-6.41,181.0
Finance,147,15.46,170.0
Tech,61,5.53,64.0
HR,188,22.38,230.0
HR,105,12.31,118.0
Finance,234,-6.97,218.0
Finance,113,10.99,125.0
Sales,271,4.19,282.0
HR,281,-9.62,254.0
Finance,96,5.45,101.0
Finance,95,0.24,95.0
Finance,92,2.18,94.0
HR,10,13.75,11.0
Finance,144,8.25,156.0
Finance,153,14.54,175.0
Finance,6,8.96,7.0
Sales,109,3.45,113.0
HR,212,2.12,216.0
HR,249,17.02,291.0
Finance,221,11.44,246.0
Tech,44,-2.56,43.0
HR,24,13.62,27.0
Finance,24,14.15,27.0
Tech,202,15.96,234.0
Sales,280,1.96,285.0
HR,78,14.43,89.0
Sales,237,-2.88,230.0
Finance,273,21.47,332.0
Finance,194,8.84,211.0
HR,61,-0.94,60.0
Tech,17,-8.16,16.0
Tech,27,6.13,29.0
Finance,92,16.24,107.0
HR,192,-9.97,173.0
HR,89,-6.55,83.0
Tech,213,-7.11,198.0
Sales,272,4.98,286.0
HR,237,12.54,267.0
Sales,82,1.56,83.0
Finance,128,-0.53,127.0
Finance,280,-4.01,269.0
Tech,69,21.34,84.0
HR,84,4.85,88.0
HR,265,7.29,284.0
HR,226,21.28,274.0
Finance,21,-2.76,20.0
Finance,187,20.85,226.0
Tech,45,21.35,55.0
Finance,225,-7.7,208.0
HR,167,-6.32,156.0
Sales,39,13.97,44.0
Finance,296,16.89,346.0
HR,233,2.31,238.0
Finance,15,-0.82,15.0
Finance,169,8.78,184.0
Tech,21,11.48,23.0
Tech,38,-1.57,37.0
Finance,172,2.25,176.0
HR,85,-1.05,84.0
Tech,105,9.4,115.0
Sales,270,23.48,333.0
Finance,72,11.0,80.0
Finance,235,8.85,256.0
HR,19,16.69,22.0
Sales,179,-5.83,169.0
Sales,244,-5.18,231.0
Sales,72,-1.47,71.0
HR,171,16.49,199.0
Finance,219,6.73,234.0
Sales,195,20.8,236.0
Sales,203,6.14,215.0
Finance,207,24.72,258.0
Sales,206,-2.4,201.0
Sales,225,15.81,261.0
Sales,285,24.2,354.0
HR,20,5.51,21.0
Sales,48,4.3,50.0
Tech,298,20.4,359.0
HR,271,-7.82,250.0
HR,280,16.35,326.0
Tech,160,22.39,196.0
HR,91,21.31,110.0
Finance,199,7.28,213.0
HR,16,-5.68,15.0
Finance,246,18.14,291.0
Finance,180,24.65,224.0
HR,161,-7.63,149.0
Finance,214,-8.95,195.0
Sales,178,-6.03,167.0
Tech,7,23.6,9.0
Sales,228,3.08,235.0
HR,145,-2.81,141.0
Finance,179,5.86,189.0
HR,83,-3.03,80.0
Finance,130,19.66,156.0
Tech,260,16.42,303.0
Sales,28,12.02,31.0
Tech,166,23.79,205.0
HR,5,-8.46,5.0
Tech,152,17.83,179.0
Sales,197,5.06,207.0
Tech,170,18.4,201.0
Finance,149,10.66,165.0
Sales,282,-4.85,268.0
Tech,131,13.46,149.0
Finance,77,19.15,92.0
HR,117,24.48,146.0
HR,238,2.87,245.0
Sales,185,10.32,204.0
Sales,195,15.43,225.0
HR,183,-1.4,180.0
Finance,239,21.58,291.0
Sales,198,23.3,244.0
Tech,231,11.64,258.0
Finance,29,-4.86,28.0
Tech,34,-0.54,34.0
HR,129,20.5,155.0
Tech,39,-0.44,39.0
HR,77,0.18,77.0
HR,74,-9.34,67.0
Finance,167,12.7,188.0
HR,272,10.24,300.0
Finance,111,22.76,136.0
Finance,216,-6.69,202.0
Sales,7,-2.2,7.0
Sales,169,14.66,194.0
Finance,73,-9.01,66.0
Tech,227,-6.43,212.0
HR,241,3.08,248.0
Finance,43,15.08,49.0
HR,144,11.17,160.0
HR,10,3.35,10.0
HR,96,10.83,106.0
Tech,234,-5.18,222.0
Finance,247,-8.02,227.0
Sales,29,11.61,32.0
Sales,272,-1.18,269.0
Sales,236,-3.7,227.0
Tech,147,19.29,175.0
Finance,251,-2.97,244.0
Tech,231,0.35,232.0
Tech,196,24.95,245.0
Tech,21,7.56,23.0
Sales,286,10.82,317.0
Finance,86,17.42,101.0
Finance,53,-9.85,48.0
Finance,271,21.1,328.0
Finance,71,17.97,84.0
Sales,257,14.04,293.0
Finance,254,23.57,314.0
Tech,263,-5.82,248.0
HR,271,-4.43,259.0
Tech,206,-4.96,196.0
Finance,141,10.75,156.0
Tech,259,17.16,303.0
HR,42,10.01,46.0
Sales,88,9.97,97.0
Sales,203,-6.4,190.0
Tech,131,21.48,159.0
Tech,199,13.73,226.0
Finance,34,12.69,38.0
Finance,111,-0.9,110.0
Finance,277,1.68,282.0
HR,147,0.49,148.0
Sales,230,19.41,275.0
Sales,47,3.67,49.0
Sales,46,19.8,55.0
Finance,228,5.63,241.0
HR,267,0.64,269.0
HR,227,-2.44,221.0
Tech,257,19.47,307.0
Sales,57,23.43,70.0
Sales,60,15.18,69.0
Sales,123,12.6,138.0
Tech,214,13.13,242.0
Finance,128,-0.64,127.0
HR,75,23.08,92.0
Sales,293,20.55,353.0
Finance,23,-8.08,21.0
Sales,268,-2.21,262.0
Sales,34,21.74,41.0
Tech,177,-9.28,161.0
Sales,220,7.54,237.0
Finance,10,22.52,12.0
Tech,30,-6.02,28.0
Sales,7,-7.46,6.0
Sales,100,-1.56,98.0
Tech,158,13.39,179.0
Tech,33,1.81,34.0
Finance,59,-1.66,58.0
Sales,60,-0.28,60.0
Finance,60,-1.84,59.0
Tech,155,18.95,184.0
Finance,58,10.01,64.0
Finance,75,17.18,88.0
Sales,34,4.24,35.0
Finance,39,21.49,47.0
Finance,69,-4.89,66.0
HR,129,23.4,159.0
Sales,270,4.48,282.0
Sales,83,9.68,91.0
Finance,268,10.54,296.0
Sales,23,6.49,24.0
Finance,225,12.82,254.0
Finance,205,13.65,233.0
HR,253,9.72,278.0
HR,60,10.26,66.0
Tech,234,23.62,289.0
HR,170,21.66,207.0
Finance,141,14.41,161.0
Finance,121,15.72,140.0
Tech,161,12.0,180.0
Sales,29,-3.71,28.0
HR,174,5.97,184.0
Finance,9,19.23,11.0
Sales,100,-8.39,92.0
Sales,295,19.25,352.0
Sales,255,-0.76,253.0
Sales,236,5.15,248.0
Sales,175,14.99,201.0
Tech,112,3.26,116.0
Finance,183,-2.65,178.0
Finance,42,-2.12,41.0
HR,119,19.18,142.0
Sales,23,-3.99,22.0
Sales,126,8.22,136.0
Tech,46,-1.89,45.0
Sales,155,11.5,173.0
Sales,122,20.06,146.0
Finance,24,10.86,27.0
HR,148,-2.38,144.0
Tech,101,14.99,116.0
HR,197,9.47,216.0
Finance,288,-3.74,277.0
Finance,258,5.31,272.0
Sales,263,-6.32,246.0
Sales,78,3.06,80.0
HR,158,7.29,170.0
HR,110,16.26,128.0
Sales,295,9.32,322.0
Tech,178,-2.4,174.0
HR,191,-6.6,178.0
Sales,89,-1.19,88.0
Tech,259,13.84,295.0
Sales,68,13.79,77.0
Finance,50,12.68,56.0
HR,84,21.22,102.0
HR,69,3.96,72.0
Tech,181,3.42,187.0
HR,241,22.95,296.0
Sales,38,-4.12,36.0
Sales,295,19.38,352.0
Finance,187,22.76,230.0
Finance,187,9.61,205.0
Finance,218,18.49,258.0
Tech,252,3.41,261.0
Tech,244,22.04,298.0
Tech,219,10.35,242.0
HR,298,-8.14,274.0
HR,58,-3.45,56.0
Finance,33,22.88,41.0
Sales,179,15.18,206.0
Finance,280,9.84,308.0
Tech,64,8.42,69.0
HR,57,-4.36,55.0
Sales,84,21.45,102.0
HR,37,8.46,40.0
Finance,242,20.54,292.0
Tech,18,6.15,19.0
Tech,288,20.28,346.0
Sales,161,4.46,168.0
Finance,268,-6.13,252.0
HR,253,17.71,298.0
HR,121,-5.51,114.0
Sales,239,-2.99,232.0
Tech,278,14.19,317.0
Finance,143,-4.84,136.0
Finance,132,22.97,162.0
HR,269,20.07,323.0
Finance,194,-0.34,193.0
Tech,74,0.58,74.0
Sales,120,10.47,133.0
Tech,121,1.68,123.0
Tech,232,3.31,240.0
Sales,88,10.94,98.0
HR,200,6.37,213.0
HR,36,-1.05,36.0
Sales,263,-8.98,239.0
Tech,82,8.71,89.0
Sales,73,-9.16,66.0
Tech,220,10.79,244.0
HR,207,2.03,211.0
Sales,275,-8.86,251.0
Sales,138,20.16,166.0
Tech,210,-5.17,199.0
Finance,116,5.0,122.0
Sales,89,10.1,98.0
Finance,99,-0.77,98.0
HR,142,1.54,144.0
Sales,164,18.14,194.0
Tech,221,-5.17,210.0
HR,142,0.3,142.0
Tech,230,11.16,256.0
Tech,299,9.42,327.0
Finance,271,8.77,295.0
Sales,178,17.31,209.0
HR,280,-5.81,264.0
Sales,111,-6.03,104.0
Finance,193,0.5,194.0
Tech,178,4.43,186.0
Finance,205,-5.6,194.0
Tech,243,-6.36,228.0
Sales,64,-1.14,63.0
Tech,76,-4.82,72.0
HR,183,15.42,211.0
Tech,213,7.85,230.0
HR,267,5.56,282.0
Finance,12,24.79,15.0
HR,33,4.76,35.0
Tech,292,10.1,321.0
Finance,204,14.09,233.0
Sales,224,20.15,269.0
Tech,160,22.16,195.0
HR,184,-3.41,178.0
Tech,82,3.59,85.0
Sales,107,3.37,111.0
HR,38,-7.46,35.0
Finance,259,-6.12,243.0
HR,231,-4.36,221.0
Sales,166,8.34,180.0
Sales,128,7.5,138.0
Finance,73,4.07,76.0
Tech,199,1.25,201.0
Tech,279,-1.35,275.0
Tech,225,14.05,257.0
Tech,261,21.86,318.0
Sales,70,-8.45,64.0
HR,124,8.68,135.0
HR,264,10.0,290.0
Finance,33,6.43,35.0
HR,210,4.78,220.0
Finance,168,-9.97,151.0
HR,156,-8.55,143.0
Tech,284,13.85,323.0
HR,40,10.57,44.0
HR,22,-8.84,20.0
Tech,116,14.18,132.0
Sales,216,15.09,249.0
Finance,69,9.75,76.0
Finance,13,13.89,15.0
Sales,185,16.44,215.0
HR,297,13.39,337.0
Finance,216,-8.29,198.0
Finance,177,12.64,199.0
Tech,231,2.43,237.0
Tech,261,18.27,309.0
Sales,52,4.15,54.0
Tech,7,12.24,8.0
Tech,32,12.41,36.0
Sales,267,1.78,272.0
Sales,167,1.4,169.0
Sales,160,7.09,171.0
Sales,233,-4.42,223.0
HR,295,4.76,309.0
Sales,159,-4.94,151.0
HR,209,14.04,238.0
Finance,54,5.74,57.0
Finance,295,2.64,303.0
HR,145,7.03,155.0
HR,257,-2.58,250.0
Tech,49,20.4,59.0
Sales,48,-5.92,45.0
Tech,135,5.03,142.0
Sales,174,5.96,184.0
Finance,119,18.34,141.0
Finance,249,16.95,291.0
Finance,145,7.21,155.0
HR,87,-2.82,85.0
Sales,32,22.09,39.0
Tech,250,0.06,250.0
Finance,263,-7.83,242.0
Tech,229,19.01,273.0
Finance,15,14.05,17.0
Tech,49,13.96,56.0
HR,5,15.27,6.0
HR,173,19.07,206.0
Finance,18,24.1,22.0
Finance,57,18.2,67.0
Finance,219,22.68,269.0
Finance,295,10.45,326.0
Tech,252,16.66,294.0
Tech,146,-3.57,141.0
HR,27,-0.49,27.0
Tech,137,6.74,146.0
HR,284,18.69,337.0
Tech,53,13.31,60.0
Sales,256,-3.75,246.0
Finance,108,-4.72,103.0
Finance,72,24.2,89.0
HR,257,1.06,260.0
Tech,277,3.44,287.0
Sales,261,-9.99,235.0
Finance,240,-8.68,219.0
Finance,292,4.58,305.0
HR,115,-7.77,106.0
Sales,281,4.54,294.0
Finance,91,-7.91,84.0
HR,227,9.66,249.0
Sales,92,16.16,107.0
Sales,11,6.15,12.0
Tech,188,-9.77,170.0
Tech,53,18.78,63.0
Sales,246,7.27,264.0
Tech,68,12.33,76.0
Finance,106,3.53,110.0
Finance,17,9.14,19.0
Tech,141,7.04,151.0
Tech,117,23.3,144.0
Sales,185,-1.44,182.0
Sales,97,0.46,97.0
Sales,153,3.54,158.0
HR,189,14.1,216.0
HR,191,-1.25,189.0
Tech,6,21.21,7.0
Sales,84,14.24,96.0
HR,47,5.81,50.0
Tech,27,7.12,29.0
Sales,33,-4.55,31.0
Tech,208,21.26,252.0
HR,286,8.8,311.0
Sales,266,16.47,310.0
Sales,296,-5.7,279.0
Finance,169,15.33,195.0
Finance,25,-2.02,24.0
Tech,58,5.61,61.0
HR,241,19.51,288.0
Sales,116,0.33,116.0
HR,289,-8.62,264.0
Finance,85,-9.59,77.0
Finance,221,5.29,233.0
Finance,53,14.54,61.0
Sales,244,21.41,296.0
HR,36,13.78,41.0
HR,154,5.19,162.0
Finance,239,-7.32,222.0
Sales,247,18.07,292.0
Sales,62,10.54,69.0
Tech,213,-4.2,204.0
HR,160,21.01,194.0
Finance,192,17.81,226.0
Tech,107,0.73,108.0
Tech,126,15.56,146.0
Finance,272,-4.76,259.0
Tech,174,14.25,199.0
HR,52,15.43,60.0
Tech,26,13.96,30.0
Tech,285,2.64,293.0
Finance,11,14.57,13.0
HR,163,22.2,199.0
Tech,33,1.0,33.0
HR,152,-1.06,150.0
Sales,272,4.8,285.0
Tech,205,-9.5,186.0
Tech,156,-8.24,143.0
Sales,75,-3.2,73.0
Tech,257,13.99,293.0
Tech,297,-3.23,287.0
