department,current_headcount,projected_hiring,projected_attrition,planning_year
HR,494,33,4,2024
Marketing,26,92,2,2024
Finance,232,64,55,2024
Finance,301,53,14,2025
HR,409,35,59,2026
HR,415,98,19,2026
Marketing,160,91,7,2025
HR,187,26,19,2024
IT,336,91,44,2025
IT,464,18,64,2025
Operations,41,97,33,2024
Finance,266,85,29,2025
Sales,369,2,56,2024
Marketing,146,61,17,2024
Marketing,307,62,35,2024
HR,431,22,68,2026
IT,36,18,62,2025
Operations,353,42,34,2026
Operations,358,70,36,2026
IT,373,88,40,2026
HR,266,34,27,2026
Operations,213,84,66,2026
IT,159,48,36,2026
Marketing,432,54,79,2025
Finance,140,98,9,2026
IT,83,55,11,2026
IT,108,77,3,2025
Marketing,313,64,26,2025
Finance,51,61,35,2025
Marketing,212,58,56,2024
HR,127,41,36,2026
Marketing,243,3,69,2025
Sales,225,40,36,2026
IT,122,83,31,2026
Operations,139,50,22,2026
Operations,230,32,54,2025
IT,406,39,10,2024
IT,286,42,68,2025
Marketing,194,75,37,2025
Finance,41,62,51,2026
HR,489,31,53,2026
Marketing,358,13,30,2026
Finance,453,57,26,2024
IT,417,34,8,2024
Operations,423,43,40,2024
IT,309,60,70,2026
IT,39,77,2,2025
Sales,180,64,73,2024
IT,70,23,38,2025
Finance,262,45,65,2024
Marketing,28,11,52,2025
Marketing,377,52,45,2024
IT,407,0,34,2024
Sales,108,32,76,2025
IT,421,94,24,2025
IT,163,53,56,2026
HR,338,90,38,2024
Operations,494,26,59,2025
HR,440,31,31,2026
Marketing,460,13,14,2024
Finance,181,43,40,2024
Sales,309,62,0,2024
Operations,62,30,45,2026
Marketing,130,25,39,2026
Finance,213,42,74,2025
Sales,488,15,35,2026
Sales,136,77,44,2026
Marketing,194,32,3,2026
Marketing,266,67,37,2026
HR,152,24,60,2026
Finance,310,33,75,2026
HR,173,89,6,2025
Sales,92,8,59,2025
IT,386,70,54,2026
Operations,297,97,48,2025
Marketing,268,89,34,2024
Marketing,278,99,8,2026
HR,339,42,34,2024
Finance,272,80,38,2026
HR,351,31,31,2026
Marketing,363,54,62,2026
Sales,75,46,72,2025
Marketing,29,60,32,2026
Finance,466,77,10,2024
Finance,108,88,58,2024
Marketing,86,78,9,2026
Sales,176,34,33,2024
Finance,375,85,8,2026
Marketing,319,24,66,2025
Marketing,149,90,61,2025
Finance,62,38,34,2026
IT,433,83,54,2026
Operations,99,36,79,2025
Operations,274,90,7,2025
IT,182,41,45,2026
Sales,371,87,17,2024
IT,386,68,34,2026
IT,357,42,74,2026
HR,45,87,14,2026
HR,337,88,57,2026
Sales,331,83,9,2025
Finance,362,47,21,2025
Marketing,295,97,76,2024
Sales,283,5,26,2024
Marketing,331,60,14,2024
Marketing,205,69,76,2024
Sales,249,43,20,2026
IT,328,54,60,2024
IT,343,36,29,2025
Marketing,271,83,10,2025
Operations,400,64,32,2024
Marketing,209,60,41,2025
Sales,321,23,64,2024
Finance,387,91,22,2025
Finance,393,53,56,2025
Finance,405,1,58,2024
HR,409,78,77,2025
Operations,130,56,40,2025
Marketing,215,5,71,2026
Finance,36,10,63,2024
HR,281,2,23,2024
Marketing,454,97,16,2024
Finance,488,91,40,2024
IT,292,36,9,2025
Operations,498,9,26,2025
HR,174,81,49,2024
HR,152,25,5,2025
Operations,86,19,78,2024
Marketing,283,17,27,2026
Operations,122,53,29,2025
Finance,103,80,27,2026
Sales,305,90,53,2026
IT,368,27,74,2024
IT,128,39,6,2026
Operations,234,65,1,2024
Marketing,238,17,19,2026
Marketing,178,33,42,2024
Operations,467,50,35,2024
Sales,322,39,2,2025
Finance,492,85,20,2026
IT,144,46,60,2024
Marketing,28,56,74,2026
Sales,66,88,14,2026
Marketing,79,94,71,2026
Finance,200,93,69,2024
Sales,437,78,3,2024
IT,126,76,13,2025
IT,56,33,29,2026
Sales,432,93,46,2025
Finance,103,40,2,2024
Sales,422,17,48,2025
HR,52,1,1,2024
HR,249,64,57,2025
IT,426,18,59,2026
IT,356,87,46,2025
Operations,294,16,46,2024
Operations,186,91,34,2024
IT,80,76,49,2026
HR,109,84,8,2026
Finance,447,81,43,2025
HR,475,76,14,2025
Marketing,66,45,74,2025
Operations,153,64,76,2025
Sales,384,13,14,2025
IT,100,15,5,2026
Operations,486,2,79,2025
Operations,55,36,17,2025
Operations,454,42,79,2026
IT,382,83,18,2025
IT,165,41,41,2026
Marketing,229,39,35,2024
HR,483,12,21,2026
Operations,53,52,18,2025
Operations,238,85,4,2025
Finance,493,43,44,2024
IT,405,6,36,2024
HR,119,7,3,2026
Finance,485,73,15,2024
Finance,487,74,25,2025
Operations,236,20,13,2025
Marketing,469,47,34,2026
Operations,395,0,23,2026
Finance,443,4,51,2026
Operations,82,0,43,2026
HR,463,25,65,2026
Operations,415,81,5,2026
Finance,443,99,12,2024
Finance,362,63,1,2025
Operations,196,67,42,2026
Sales,252,54,53,2025
Sales,297,42,56,2025
Sales,339,63,19,2024
HR,294,19,42,2025
Finance,411,32,0,2024
HR,434,11,14,2025
Operations,398,11,15,2026
Finance,383,89,10,2024
Finance,478,9,60,2026
Sales,86,78,78,2026
Sales,262,85,77,2024
Sales,141,17,68,2026
Finance,313,35,33,2024
HR,50,48,67,2024
IT,21,80,72,2024
Operations,407,99,12,2025
Marketing,190,17,58,2025
Marketing,315,33,61,2025
Sales,377,75,69,2024
Finance,323,27,28,2024
HR,184,71,11,2026
HR,304,53,29,2025
Marketing,299,10,8,2026
Finance,449,23,44,2026
IT,322,84,43,2024
Marketing,190,87,29,2024
Marketing,313,11,58,2026
IT,92,20,28,2025
IT,186,12,39,2025
HR,83,33,5,2024
Operations,146,87,30,2026
Marketing,315,60,40,2025
Marketing,443,31,5,2024
Marketing,456,18,27,2025
Finance,198,3,17,2025
IT,107,13,57,2024
HR,416,74,11,2026
Finance,381,27,42,2024
Sales,313,73,37,2026
Operations,67,95,6,2025
Finance,426,97,9,2025
HR,497,71,7,2025
Sales,455,53,68,2026
Operations,312,64,8,2025
IT,448,51,27,2024
Operations,314,10,41,2025
HR,108,24,57,2026
HR,444,96,5,2026
Finance,492,28,57,2024
Finance,141,90,69,2025
HR,447,28,3,2026
Operations,38,91,18,2024
IT,163,36,60,2024
Finance,406,75,70,2024
Marketing,121,43,64,2025
Sales,232,45,48,2024
IT,431,2,25,2024
Finance,124,53,75,2025
HR,127,20,43,2025
IT,403,29,9,2026
Marketing,276,29,67,2025
Marketing,303,23,9,2024
Operations,175,89,16,2026
Sales,189,47,4,2025
HR,358,78,28,2024
Marketing,320,47,58,2025
Sales,343,55,52,2024
Marketing,25,77,14,2025
HR,455,2,15,2025
HR,400,63,68,2026
Marketing,269,8,23,2025
Finance,305,78,21,2026
Marketing,46,70,42,2025
Sales,190,3,53,2024
Marketing,212,68,37,2024
Marketing,70,24,0,2026
IT,125,42,19,2024
Finance,110,17,69,2024
IT,180,6,13,2024
Sales,113,62,25,2026
Marketing,24,47,60,2024
Marketing,266,51,30,2026
HR,441,19,27,2026
Sales,173,92,32,2026
HR,323,3,28,2025
Operations,235,84,53,2024
Finance,84,23,32,2024
IT,474,0,25,2024
Operations,331,50,72,2026
Finance,456,67,51,2024
Marketing,29,86,54,2026
Operations,178,74,38,2026
Operations,378,95,1,2026
Finance,281,76,18,2026
Marketing,66,33,37,2024
Marketing,168,52,68,2025
HR,458,47,31,2025
IT,64,19,72,2026
Sales,493,61,49,2024
HR,32,77,41,2025
Marketing,307,51,28,2025
Sales,45,50,52,2024
Finance,70,17,22,2024
HR,172,40,3,2026
HR,152,41,38,2024
Sales,195,86,56,2026
Finance,478,58,62,2024
Operations,113,83,3,2025
IT,272,50,68,2026
Marketing,220,29,31,2024
Finance,136,46,43,2025
Operations,326,76,75,2026
Finance,427,43,18,2024
IT,70,27,62,2024
Sales,422,17,23,2024
IT,191,34,69,2025
Sales,129,2,65,2026
HR,497,7,40,2024
HR,191,83,38,2026
Finance,125,9,13,2026
Sales,468,54,47,2025
HR,103,30,5,2026
Operations,299,69,69,2024
HR,456,95,61,2025
Operations,179,71,36,2026
Marketing,460,3,51,2026
Finance,294,59,61,2024
HR,369,38,7,2026
Sales,473,5,60,2025
IT,408,85,20,2026
IT,305,99,13,2024
IT,376,51,73,2026
Marketing,118,13,68,2024
HR,25,52,29,2025
Finance,359,32,5,2024
Marketing,201,99,32,2025
Operations,422,0,67,2026
Marketing,384,27,39,2025
IT,402,75,66,2025
IT,156,53,44,2025
Finance,418,96,3,2024
HR,267,8,45,2024
Sales,327,14,45,2026
Sales,86,48,44,2024
Finance,148,9,77,2026
Finance,159,68,68,2026
Marketing,296,65,55,2026
Operations,366,73,4,2025
IT,324,61,13,2026
Sales,427,64,21,2026
Operations,351,47,31,2025
IT,34,79,32,2024
Sales,176,50,4,2025
Sales,187,87,37,2024
Operations,157,65,46,2025
IT,36,92,31,2025
Sales,61,13,63,2024
HR,168,16,52,2024
Operations,424,99,1,2026
Marketing,215,92,26,2025
Operations,140,89,31,2025
Finance,68,43,39,2024
Sales,237,42,45,2026
Operations,459,71,47,2024
HR,74,91,39,2025
Sales,291,53,59,2024
Finance,163,78,56,2024
Marketing,277,2,53,2024
IT,293,56,33,2026
Marketing,358,11,57,2025
Sales,385,95,49,2026
IT,121,26,75,2026
Operations,290,90,68,2024
HR,35,92,25,2025
HR,449,73,75,2024
Operations,291,44,33,2025
Sales,178,15,61,2025
Marketing,398,35,13,2026
Finance,50,39,6,2024
HR,118,45,16,2024
Operations,196,17,18,2025
Finance,378,36,56,2026
Marketing,62,66,3,2025
IT,464,45,13,2026
Operations,110,15,15,2024
Operations,259,78,20,2025
Finance,300,49,51,2026
Sales,465,88,76,2024
Finance,108,16,53,2025
Finance,411,5,20,2026
HR,259,60,54,2024
Marketing,159,43,59,2026
IT,311,54,71,2025
IT,21,53,33,2026
Marketing,254,80,58,2025
HR,292,72,40,2024
Operations,228,12,28,2024
Operations,94,3,14,2025
HR,343,56,50,2025
HR,100,84,48,2025
IT,258,53,40,2026
IT,22,90,57,2024
HR,33,52,62,2025
Sales,201,32,49,2024
Sales,350,39,31,2024
IT,364,8,79,2024
Sales,342,25,76,2026
Finance,485,82,13,2025
Operations,433,45,19,2026
Sales,31,70,4,2025
Operations,399,58,67,2026
Marketing,111,74,57,2026
Finance,71,40,9,2025
Marketing,344,70,68,2025
HR,325,35,75,2025
IT,129,8,29,2026
HR,368,4,52,2025
Sales,55,83,30,2024
IT,403,37,35,2025
Operations,166,82,46,2024
HR,205,41,48,2026
Finance,273,59,70,2026
Finance,173,67,49,2026
IT,142,23,43,2026
Operations,252,10,40,2024
Sales,110,37,70,2024
Finance,188,61,29,2026
IT,265,44,21,2025
Sales,117,18,55,2025
IT,219,24,26,2024
Finance,201,73,8,2025
IT,287,50,79,2025
IT,213,75,19,2026
Finance,272,76,12,2026
Operations,226,33,56,2025
IT,89,90,65,2024
Finance,177,60,53,2025
Marketing,485,93,33,2024
Marketing,201,3,15,2024
HR,340,76,29,2026
IT,233,79,36,2025
Marketing,174,63,62,2025
HR,47,72,27,2025
HR,303,37,6,2025
Finance,129,65,23,2026
Sales,443,37,37,2026
Sales,491,93,53,2024
Sales,451,88,41,2026
Sales,370,49,23,2026
IT,133,54,21,2025
Marketing,146,4,58,2026
Sales,355,62,18,2024
HR,313,20,57,2026
IT,291,61,62,2025
IT,136,94,24,2024
Finance,276,7,55,2024
Finance,205,88,4,2024
Sales,417,64,20,2026
Sales,218,75,44,2025
Finance,279,94,51,2025
Sales,293,38,62,2026
Sales,497,33,13,2025
IT,350,27,64,2025
HR,81,95,22,2026
Finance,265,28,14,2026
Operations,422,34,56,2024
Sales,126,33,67,2026
Sales,425,57,52,2025
IT,332,51,9,2026
Sales,77,52,60,2026
Marketing,170,6,25,2026
HR,81,67,79,2024
Operations,423,24,23,2025
IT,442,76,30,2024
Finance,374,26,39,2024
Operations,72,40,45,2026
Operations,120,39,5,2025
Operations,472,0,65,2025
Finance,242,75,25,2024
Marketing,72,93,15,2025
Sales,482,71,71,2024
HR,447,96,9,2026
HR,269,3,25,2024
HR,374,42,16,2024
Operations,358,23,19,2025
Finance,105,14,68,2025
IT,396,20,21,2025
Marketing,43,79,55,2025
Operations,78,51,55,2026
Operations,478,88,44,2025
HR,206,64,60,2025
Operations,198,90,32,2024
Sales,114,31,35,2024
HR,125,49,8,2024
HR,57,51,76,2024
Operations,493,57,50,2026
Operations,230,1,59,2024
Sales,193,90,20,2024
Finance,36,77,71,2025
IT,339,66,10,2025
HR,470,24,19,2026
Sales,64,3,66,2026
Finance,167,54,73,2024
Finance,94,21,57,2026
Sales,279,37,29,2025
Finance,373,94,60,2024
Operations,236,35,28,2024
Finance,106,71,48,2025
Finance,163,21,55,2024
Finance,80,72,8,2024
Marketing,61,0,72,2026
HR,297,18,66,2025
Sales,348,79,57,2025
Marketing,193,9,68,2024
IT,434,34,28,2024
HR,292,37,22,2025
Finance,397,80,38,2026
Marketing,226,34,51,2026
Marketing,201,54,22,2024
Sales,185,28,3,2024
Sales,49,2,54,2025
Sales,117,28,0,2024
Sales,336,92,47,2026
Finance,420,15,50,2026
Sales,103,32,14,2024
Sales,334,24,75,2024
HR,226,43,20,2024
HR,444,22,53,2024
IT,313,29,63,2024
IT,145,34,21,2024
IT,226,73,76,2026
Sales,409,62,38,2024
Marketing,244,64,66,2024
Sales,309,57,47,2025
Finance,295,10,20,2024
Sales,440,22,47,2025
Sales,171,94,11,2024
HR,269,95,17,2024
HR,22,7,75,2025
HR,113,96,40,2026
HR,31,12,27,2026
Sales,93,83,54,2026
Sales,324,1,25,2025
Finance,458,39,50,2024
IT,107,15,6,2024
IT,390,10,36,2024
IT,41,28,29,2024
Marketing,417,56,60,2024
IT,251,7,32,2024
Marketing,39,19,54,2024
Finance,499,81,22,2024
HR,118,97,75,2024
HR,237,7,14,2024
Finance,472,11,33,2025
Finance,180,97,23,2025
HR,287,0,76,2025
Finance,71,46,52,2024
IT,395,13,51,2025
Sales,190,93,71,2024
HR,150,19,21,2024
HR,447,82,3,2024
Marketing,181,43,6,2025
IT,421,53,33,2026
Marketing,53,46,38,2026
HR,87,67,47,2025
Sales,451,8,51,2024
HR,418,63,65,2024
HR,462,31,41,2025
HR,171,29,78,2024
Marketing,487,2,20,2026
Marketing,142,32,38,2024
Marketing,282,66,4,2024
Sales,39,15,2,2026
Operations,138,69,0,2026
Sales,448,86,70,2024
Finance,375,27,60,2024
Marketing,251,90,43,2026
Finance,371,90,14,2025
IT,293,25,18,2026
Sales,386,78,67,2026
Marketing,123,83,68,2024
IT,482,99,56,2026
Marketing,158,61,26,2026
Finance,446,66,76,2024
Operations,357,82,38,2024
HR,28,77,51,2024
IT,160,71,59,2026
Sales,39,80,59,2025
Finance,251,10,72,2024
Sales,360,45,61,2026
HR,396,25,62,2024
IT,155,17,56,2026
Finance,357,85,28,2025
Operations,388,27,34,2026
Marketing,186,8,4,2025
HR,228,49,28,2024
Marketing,467,83,67,2026
HR,171,64,6,2024
Finance,103,35,46,2025
Sales,303,41,0,2024
Marketing,230,18,66,2026
Marketing,62,87,40,2026
Finance,279,70,65,2024
IT,168,61,53,2025
HR,475,28,21,2025
Sales,407,16,6,2024
Marketing,46,85,21,2025
HR,496,55,16,2024
Sales,185,99,29,2025
Marketing,120,98,12,2026
IT,445,65,46,2024
Finance,486,62,30,2024
HR,70,8,55,2024
Operations,341,36,61,2025
HR,63,68,15,2025
IT,368,92,76,2024
HR,51,38,44,2026
IT,70,50,47,2026
Operations,329,20,74,2026
Sales,92,74,28,2025
Marketing,226,81,8,2025
Finance,267,8,72,2025
Marketing,208,64,43,2024
HR,251,93,8,2026
Operations,309,60,19,2026
Marketing,376,30,10,2026
IT,291,27,26,2025
Sales,377,8,18,2024
IT,119,20,75,2026
Finance,326,66,12,2024
Marketing,116,54,76,2026
Marketing,439,98,44,2026
Marketing,146,54,11,2025
HR,90,71,9,2026
Finance,407,39,17,2025
HR,382,65,45,2026
HR,257,0,69,2024
Operations,114,67,41,2025
Sales,485,69,75,2026
Sales,27,76,30,2025
Sales,196,85,39,2025
Operations,123,90,13,2026
Operations,351,99,10,2025
IT,381,5,6,2026
HR,139,37,16,2026
Operations,363,91,55,2025
Marketing,430,31,34,2025
Sales,499,90,79,2026
Marketing,140,70,73,2026
Marketing,46,26,70,2025
IT,170,38,10,2026
Finance,282,98,34,2026
IT,457,30,60,2024
Finance,313,90,45,2024
HR,420,71,37,2026
IT,324,29,28,2025
Operations,43,6,22,2024
Operations,82,92,67,2025
Sales,72,29,37,2026
HR,362,97,36,2026
Sales,337,51,51,2024
Sales,90,43,75,2025
HR,66,67,61,2024
Sales,384,21,59,2026
Finance,492,88,49,2024
IT,415,75,32,2024
Operations,261,19,27,2024
Sales,379,61,50,2025
Sales,423,83,57,2024
IT,420,13,9,2024
Operations,454,90,59,2025
HR,317,87,51,2026
Marketing,146,69,78,2024
IT,313,84,36,2024
Sales,430,13,13,2025
Finance,490,28,76,2026
Marketing,152,40,73,2026
Sales,466,40,70,2025
Finance,410,64,28,2024
Operations,135,97,25,2024
IT,426,38,7,2026
IT,87,40,32,2024
Marketing,291,53,76,2026
Operations,402,94,3,2024
Finance,37,28,0,2025
Operations,375,18,0,2024
IT,372,60,61,2024
IT,348,28,16,2026
Sales,163,17,62,2025
Sales,233,98,73,2025
Finance,343,39,70,2024
Finance,358,91,28,2026
Operations,156,81,58,2026
IT,446,70,72,2025
Operations,410,20,52,2026
Finance,299,99,12,2024
Finance,496,95,30,2026
Finance,294,57,11,2026
IT,370,96,6,2024
Sales,391,12,64,2024
Finance,422,51,35,2024
IT,248,38,46,2026
IT,55,77,48,2025
IT,491,65,43,2024
Finance,490,58,10,2025
IT,428,70,75,2025
Operations,68,10,27,2025
Operations,482,52,12,2025
HR,476,76,7,2025
Marketing,396,32,77,2026
Operations,49,28,75,2024
Operations,99,64,36,2024
Marketing,384,20,37,2025
Sales,382,63,74,2024
Sales,266,14,49,2026
Marketing,64,24,62,2024
Operations,372,89,20,2025
HR,131,95,5,2024
HR,43,53,6,2024
HR,86,52,22,2025
Sales,26,24,61,2026
Operations,311,37,77,2024
Marketing,455,61,41,2026
Sales,349,81,23,2024
Sales,183,81,79,2026
Operations,430,62,61,2026
Sales,29,25,46,2025
IT,354,50,78,2025
Sales,222,35,20,2024
Finance,381,57,3,2025
IT,82,74,72,2026
Sales,207,20,61,2026
Finance,174,42,54,2026
HR,277,28,48,2026
Operations,487,51,22,2024
IT,203,66,51,2026
Sales,394,97,59,2026
Sales,380,16,46,2026
HR,163,33,44,2026
IT,373,63,18,2025
Finance,162,21,56,2025
Sales,20,76,71,2025
Marketing,230,22,1,2026
Sales,57,24,54,2026
HR,495,52,11,2024
HR,287,12,67,2025
Sales,476,65,66,2025
Finance,463,5,15,2025
Sales,404,56,4,2024
Sales,29,43,25,2025
HR,79,2,10,2024
IT,271,3,59,2025
Sales,466,92,35,2024
Finance,389,5,75,2026
Marketing,115,86,75,2026
Sales,326,76,25,2025
Operations,268,42,70,2024
Marketing,384,45,46,2025
Sales,151,48,61,2024
IT,399,14,17,2025
Operations,295,46,32,2025
HR,215,21,24,2025
Sales,439,91,29,2024
Finance,66,39,9,2025
Marketing,406,28,42,2026
Sales,380,15,14,2026
Operations,174,55,29,2024
HR,253,37,67,2024
IT,391,33,61,2025
Operations,335,9,29,2024
Sales,38,30,75,2026
Operations,220,85,1,2024
Marketing,288,74,39,2026
HR,449,12,42,2024
Sales,97,47,9,2026
HR,167,1,42,2026
Operations,50,39,58,2026
Marketing,486,50,7,2024
Sales,295,57,64,2026
Finance,275,11,31,2026
Marketing,388,67,60,2025
Sales,493,86,53,2026
Marketing,145,61,14,2026
Marketing,257,64,78,2025
Finance,33,49,71,2024
IT,456,78,36,2026
Marketing,124,17,11,2026
Sales,33,70,58,2025
Marketing,84,57,4,2025
Operations,201,9,24,2024
Marketing,65,33,34,2026
IT,367,64,42,2026
HR,344,0,65,2026
Finance,217,21,13,2026
HR,149,70,35,2026
HR,457,56,69,2026
Operations,94,70,53,2024
Finance,216,45,23,2024
Finance,86,52,3,2025
Finance,36,1,48,2025
Marketing,104,27,21,2026
Operations,188,89,55,2024
IT,366,72,67,2026
Marketing,51,67,8,2025
Finance,232,76,39,2026
Sales,133,43,75,2024
IT,49,60,57,2025
Operations,220,68,50,2026
Finance,40,35,37,2026
Operations,112,9,3,2026
HR,188,31,41,2024
IT,268,76,7,2025
Operations,416,24,27,2024
HR,407,13,42,2024
Operations,144,9,4,2026
Finance,372,41,46,2024
Operations,144,43,46,2024
Marketing,62,45,54,2025
HR,393,85,45,2024
Operations,276,53,12,2024
IT,51,61,8,2026
Sales,384,11,71,2025
Sales,472,38,6,2024
Marketing,62,35,70,2025
HR,148,2,8,2025
Finance,416,27,6,2024
Sales,24,10,79,2025
Sales,465,60,15,2026
Marketing,387,81,36,2026
HR,443,20,23,2024
HR,382,43,27,2025
IT,268,94,32,2024
Sales,389,69,50,2026
Marketing,392,94,52,2025
Operations,229,28,36,2026
Sales,192,23,4,2024
Sales,31,6,39,2024
Finance,233,48,19,2026
Finance,131,36,10,2026
Sales,59,6,14,2025
Operations,135,70,51,2025
Marketing,89,49,38,2025
Marketing,475,1,41,2026
IT,85,79,59,2025
Sales,395,29,56,2024
Marketing,254,52,39,2026
HR,240,67,39,2025
Finance,470,34,70,2026
Operations,141,47,57,2026
Finance,413,12,23,2025
IT,170,28,55,2024
HR,366,85,8,2026
IT,341,90,61,2026
HR,291,68,52,2024
Finance,85,75,54,2024
Marketing,445,39,66,2025
Finance,447,67,12,2024
IT,31,72,34,2025
Sales,277,66,61,2025
Operations,426,2,1,2025
IT,174,52,15,2024
Sales,135,4,48,2025
Operations,379,44,7,2026
Operations,363,20,29,2026
Sales,68,56,31,2024
Operations,396,86,0,2026
Marketing,471,40,14,2026
HR,202,2,68,2026
Operations,499,66,31,2024
Marketing,84,76,25,2024
Finance,439,58,55,2026
IT,273,99,27,2025
IT,331,82,28,2026
Finance,160,59,60,2024
Sales,398,78,54,2024
Operations,128,75,10,2024
Sales,338,91,36,2025
IT,332,52,17,2026
Finance,24,14,14,2024
Sales,85,79,24,2025
Sales,194,65,59,2024
Marketing,71,58,44,2026
Marketing,490,29,23,2024
Finance,477,70,30,2024
Finance,404,4,17,2025
HR,460,3,30,2024
Finance,294,35,9,2026
Sales,306,90,78,2024
Marketing,405,35,34,2026
Sales,62,96,3,2024
Operations,411,71,20,2025
Operations,105,79,39,2025
Sales,196,18,5,2026
HR,246,84,53,2025
Finance,494,28,30,2024
Marketing,485,76,27,2024
Marketing,89,61,48,2025
Operations,368,63,48,2024
Sales,181,78,44,2026
Finance,132,25,49,2025
IT,80,39,76,2024
Sales,79,95,72,2026
Marketing,357,34,60,2025
Sales,92,75,54,2024
Sales,196,29,78,2025
Operations,430,12,51,2026
Operations,240,22,13,2024
Operations,66,5,72,2026
Finance,45,11,72,2024
Marketing,54,36,53,2025
Marketing,76,37,52,2025
Marketing,336,2,53,2025
Marketing,189,72,34,2024
IT,52,96,31,2025
Operations,376,55,59,2024
Finance,464,43,41,2025
Sales,384,30,55,2026
Sales,497,92,68,2026
Finance,114,87,10,2024
IT,21,57,74,2025
Marketing,249,83,3,2024
HR,72,35,18,2026
Finance,308,63,36,2024
Operations,111,13,72,2025
IT,379,7,27,2025
HR,193,10,6,2026
Operations,264,13,79,2024
Operations,454,79,71,2026
Marketing,365,96,28,2024
Sales,161,88,43,2026
Marketing,147,60,67,2025
IT,312,17,13,2024
IT,314,95,31,2024
HR,25,47,24,2025
Operations,421,68,59,2025
Finance,345,77,10,2024
Operations,369,77,11,2025
Finance,312,60,8,2024
Marketing,41,95,10,2024
HR,207,4,40,2024
HR,63,35,72,2024
Finance,320,21,18,2025
Sales,262,33,12,2025
Operations,289,0,48,2026
Operations,166,19,45,2026
Sales,55,99,54,2026
Finance,87,65,40,2026
Operations,385,96,78,2025
Finance,211,95,10,2025
Marketing,493,57,10,2025
Marketing,411,11,55,2024
HR,377,73,33,2025
IT,333,94,35,2025
Marketing,303,47,9,2026
HR,398,10,69,2026
IT,336,58,66,2025
Finance,488,90,79,2025
HR,260,28,61,2024
IT,74,72,38,2026
Operations,35,51,60,2025
Operations,333,22,64,2024
Finance,41,9,52,2024
HR,207,81,72,2024
IT,383,47,47,2025
Marketing,275,56,37,2024
Marketing,273,90,42,2025
Finance,418,5,55,2026
Sales,446,41,77,2025
Marketing,287,94,63,2025
Operations,229,5,9,2025
Sales,106,17,43,2024
Finance,469,89,73,2024
HR,37,72,54,2024
HR,115,60,78,2024
HR,453,42,7,2025
Sales,236,5,23,2025
Marketing,100,88,61,2024
Finance,435,68,49,2024
Marketing,363,85,62,2025
HR,404,72,25,2025
Operations,172,8,47,2024
IT,414,90,24,2025
Finance,427,1,30,2026
Marketing,488,25,73,2025
Marketing,416,44,8,2026
Operations,57,32,5,2026
Finance,325,37,67,2025
IT,419,99,57,2025
Sales,160,63,1,2026
Finance,169,46,15,2025
HR,31,24,36,2025
Finance,67,13,30,2024
IT,379,41,4,2026
IT,130,90,15,2025
Sales,244,48,32,2024
Finance,72,67,29,2026
IT,215,34,56,2026
IT,369,99,17,2026
HR,374,99,15,2026
Marketing,483,1,65,2025
Operations,373,63,37,2025
Finance,133,99,1,2025
Finance,495,8,30,2025
IT,321,58,47,2025
IT,66,54,34,2024
Operations,191,36,25,2025
HR,198,36,45,2025
Marketing,140,82,12,2024
IT,357,6,69,2025
HR,209,26,49,2026
HR,221,46,25,2026
Sales,374,82,55,2026
Marketing,479,8,34,2024
IT,222,21,20,2025
IT,184,34,21,2025
HR,480,48,64,2026
Sales,499,40,17,2025
Finance,458,95,19,2026
HR,50,44,30,2024
Operations,330,10,14,2024
HR,479,19,32,2026
Marketing,209,34,19,2025
HR,417,82,18,2025
IT,175,49,71,2024
Finance,35,62,22,2026
IT,246,48,52,2026
Marketing,182,13,23,2025
IT,52,47,61,2025
HR,489,1,36,2024
HR,376,51,58,2024
Finance,148,65,50,2024
HR,346,98,1,2025
Finance,222,43,65,2025
Finance,133,89,12,2026
Marketing,410,32,58,2026
Finance,126,35,66,2024
Finance,252,22,20,2024
IT,126,68,39,2025
Operations,282,14,14,2026
Marketing,72,23,26,2025
Finance,434,23,33,2026
IT,455,65,42,2024
Marketing,347,50,72,2024
Sales,372,35,57,2024
Operations,165,13,2,2024
IT,291,64,78,2024
Marketing,275,78,45,2026
Sales,492,85,26,2026
HR,443,69,16,2026
IT,473,18,23,2024
Sales,419,72,17,2024
HR,41,91,28,2024
HR,210,68,38,2025
HR,59,54,60,2025
HR,265,33,60,2025
Sales,290,21,54,2024
HR,416,79,63,2024
Operations,493,15,12,2025
Operations,338,13,35,2025
HR,242,15,36,2024
HR,209,20,79,2026
Finance,384,59,45,2026
Finance,414,5,52,2026
Marketing,464,51,55,2024
Operations,116,61,71,2024
HR,255,86,43,2024
Operations,293,32,2,2025
Marketing,168,54,52,2026
Finance,73,25,34,2024
Finance,470,77,63,2024
Sales,361,64,72,2024
IT,476,26,45,2024
HR,406,71,45,2024
Operations,426,4,14,2026
Operations,322,91,12,2026
Finance,224,40,54,2024
Finance,35,27,76,2025
Operations,466,98,64,2026
Operations,265,72,21,2025
IT,291,25,51,2026
Finance,433,66,58,2025
Marketing,158,75,18,2024
HR,366,74,20,2025
HR,127,88,0,2025
HR,490,62,14,2026
Operations,81,26,66,2026
Sales,98,35,37,2026
Finance,450,95,3,2024
IT,225,39,32,2026
HR,95,18,53,2024
HR,197,30,76,2026
IT,343,41,59,2025
Operations,214,24,43,2025
HR,346,26,29,2026
Sales,481,72,8,2025
HR,328,39,37,2025
IT,381,83,52,2024
HR,154,3,72,2024
Sales,387,89,21,2024
HR,180,58,76,2024
